Tarih,tcmb_istanbul_2el,tcmb_izmir_2el,tufe
2010-01-01,96.69,98.53,174.1
2010-02-01,96.97,97.90,176.6
2010-03-01,97.73,97.91,177.6
2010-04-01,98.44,97.98,178.7
2010-05-01,98.90,98.39,178
2010-06-01,98.81,99.31,177
2010-07-01,99.44,99.71,176.2
2010-08-01,100.40,100.70,176.9
2010-09-01,101.70,101.20,179.1
2010-10-01,102.60,101.90,182.4
2010-11-01,103.70,102.70,182.4
2010-12-01,104.50,103.80,181.9
2011-01-01,105.20,104.90,182.6
2011-02-01,106.60,105.90,183.9
2011-03-01,108.10,107.10,184.7
2011-04-01,109.60,108.30,186.3
2011-05-01,111.20,110.20,190.8
2011-06-01,112.20,110.80,188.1
2011-07-01,113.00,111.50,187.3
2011-08-01,113.00,112.30,188.7
2011-09-01,115.00,114.20,190.1
2011-10-01,116.10,115.00,196.3
2011-11-01,116.80,115.10,199.7
2011-12-01,118.50,115.70,200.9
2012-01-01,119.30,117.50,202
2012-02-01,121.90,120.00,203.1
2012-03-01,122.80,120.00,204
2012-04-01,125.10,121.10,207.1
2012-05-01,125.80,123.40,206.6
2012-06-01,126.90,125.20,204.8
2012-07-01,127.20,126.50,204.3
2012-08-01,129.40,126.10,205.4
2012-09-01,130.60,127.20,207.6
2012-10-01,131.70,127.90,211.6
2012-11-01,132.60,128.90,212.4
2012-12-01,133.90,129.40,213.2
2013-01-01,135.70,129.20,216.7
2013-02-01,138.50,130.90,217.4
2013-03-01,141.10,132.70,218.8
2013-04-01,143.40,134.70,219.8
2013-05-01,145.40,136.30,220.1
2013-06-01,147.80,137.90,221.8
2013-07-01,149.90,139.10,222.4
2013-08-01,151.30,140.90,222.2
2013-09-01,153.00,142.10,223.9
2013-10-01,155.80,143.10,227.9
2013-11-01,160.30,144.90,228
2013-12-01,161.10,146.00,229
2014-01-01,163.10,146.90,233.5
2014-02-01,165.00,148.50,234.5
2014-03-01,168.30,150.50,237.2
2014-04-01,172.20,152.00,240.4
2014-05-01,175.30,153.20,241.3
2014-06-01,179.40,155.70,242.1
2014-07-01,184.00,157.70,243.2
2014-08-01,187.90,159.80,243.4
2014-09-01,190.10,160.60,243.7
2014-10-01,194.50,161.70,248.4
2014-11-01,198.70,163.50,248.8
2014-12-01,202.40,165.80,247.7
2015-01-01,205.90,167.00,250.5
2015-02-01,211.00,169.80,252.2
2015-03-01,216.70,172.50,255.2
2015-04-01,221.50,174.40,259.4
2015-05-01,226.10,176.90,260.9
2015-06-01,228.80,180.60,259.5
2015-07-01,233.00,185.80,259.7
2015-08-01,234.30,188.30,260.8
2015-09-01,240.30,189.00,263.1
2015-10-01,246.00,189.10,267.2
2015-11-01,251.10,191.10,269

