countries,number_of_cases,number_deaths
Afghanistan,299,7
Albania,361,21
Algeria,1320,152
Andorra,501,18
Angola,14,2
Anguilla,3,0
Antigua_and_Barbuda,15,0
Argentina,1554,46
Armenia,822,7
Aruba,64,0
Australia,5744,36
Austria,11983,204
Azerbaijan,584,7
Bahamas,29,5
Bahrain,700,4
Bangladesh,88,9
Barbados,56,1
Belarus,564,8
Belgium,19691,1447
Belize,5,1
Benin,22,0
Bermuda,37,0
Bhutan,5,0
Bolivia,183,11
"Bonaire, Saint Eustatius and Saba",2,0
Bosnia_and_Herzegovina,663,24
Botswana,6,1
Brazil,11130,486
British_Virgin_Islands,3,0
Brunei_Darussalam,135,1
Bulgaria,531,20
Burkina_Faso,345,17
Burundi,3,0
Cambodia,114,0
Cameroon,650,9
Canada,15496,280
Cape_Verde,7,1
Cases_on_an_international_conveyance_Japan,696,7
Cayman_Islands,39,1
Central_African_Republic,9,0
Chad,9,0
Chile,4471,34
China,82642,3335
Colombia,1485,35
Congo,45,5
Costa_Rica,454,2
Cote_dIvoire,261,3
Croatia,1182,15
Cuba,320,8
Cura?§ao,11,1
Cyprus,446,14
Czech_Republic,4587,67
Democratic_Republic_of_the_Congo,154,18
Denmark,4369,179
Djibouti,59,0
Dominica,14,0
Dominican_Republic,1745,82
Ecuador,3646,180
Egypt,1070,71
El_Salvador,69,3
Equatorial_Guinea,16,0
Eritrea,29,0
Estonia,1097,15
Eswatini,9,0
Ethiopia,43,2
Falkland_Islands_(Malvinas),2,0
Faroe_Islands,181,0
Fiji,14,0
Finland,1927,28
France,70478,8078
French_Polynesia,41,0
Gabon,21,1
Gambia,4,1
Georgia,174,2
Germany,95391,1434
Ghana,214,5
Gibraltar,103,1
Greece,1735,73
Greenland,11,0
Grenada,12,0
Guam,110,4
Guatemala,70,3
Guernsey,154,3
Guinea,121,5
Guinea_Bissau,18,0
Guyana,29,4
Haiti,21,0
Holy_See,7,0
Honduras,298,22
Hungary,744,38
Iceland,1486,4
India,4067,109
Indonesia,2273,198
Iran,58226,3603
Iraq,961,61
Ireland,5111,158
Isle_of_Man,127,1
Israel,8430,49
Italy,128948,15889
Jamaica,58,3
Japan,3654,73
Jersey,155,3
Jordan,345,5
Kazakhstan,531,5
Kenya,142,4
Kosovo,140,1
Kuwait,556,1
Kyrgyzstan,216,4
Laos,11,0
Latvia,533,1
Lebanon,527,18
Liberia,13,3
Libya,18,1
Liechtenstein,78,1
Lithuania,811,13
Luxembourg,2804,36
Madagascar,72,0
Malawi,4,0
Malaysia,3662,61
Maldives,19,0
Mali,45,5
Malta,234,0
Mauritania,6,1
Mauritius,227,7
Mexico,2143,94
Moldova,864,15
Monaco,73,2
Mongolia,14,0
Montenegro,214,2
Montserrat,6,0
Morocco,1021,70
Mozambique,10,0
Myanmar,21,1
Namibia,16,0
Nepal,9,0
Netherlands,16627,1651
New_Caledonia,18,0
New_Zealand,911,1
Nicaragua,5,1
Niger,184,10
Nigeria,232,5
North_Macedonia,483,17
Northern_Mariana_Islands,8,1
Norway,5640,58
Oman,298,2
Pakistan,3277,50
Palestine,217,1
Panama,1988,54
Papua_New_Guinea,1,0
Paraguay,113,5
Peru,2281,83
Philippines,3246,152
Poland,4102,94
Portugal,11278,295
Puerto_Rico,475,20
Qatar,1604,4
Romania,3864,148
Russia,5389,45
Rwanda,104,0
Saint_Barthelemy,6,0
Saint_Kitts_and_Nevis,10,0
Saint_Lucia,14,0
Saint_Vincent_and_the_Grenadines,7,0
San_Marino,266,32
Saudi_Arabia,2385,34
Senegal,222,2
Serbia,1908,51
Seychelles,10,0
Sierra_Leone,6,0
Singapore,1309,6
Sint_Maarten,25,4
Slovakia,485,0
Slovenia,997,28
Somalia,7,0
South_Africa,1655,11
South_Korea,10284,186
South_Sudan,1,0
Spain,130759,12418
Sri_Lanka,166,5
Sudan,12,2
Suriname,10,1
Sweden,6830,401
Switzerland,21065,715
Syria,19,2
Taiwan,363,5
Thailand,2220,26
Timor_Leste,1,0
Togo,44,3
Trinidad_and_Tobago,104,7
Tunisia,553,19
Turkey,27069,574
Turks_and_Caicos_islands,5,1
Uganda,52,0
Ukraine,1251,32
United_Arab_Emirates,1799,10
United_Kingdom,47806,4934
United_Republic_of_Tanzania,22,1
United_States_of_America,337635,9647
United_States_Virgin_Islands,42,1
Uruguay,406,6
Uzbekistan,342,2
Venezuela,148,5
Vietnam,241,0
Zambia,39,1
Zimbabwe,9,1
