"","wind.temp","wind.wind_speed"
"1",3.88,6.7
"2",3.85,7.2
"3",3.61,8.2
"4",4.64,4
"5",4.71,4
"6",4.08,7.7
"7",4.08,8.2
"8",4.08,8.8
"9",3.48,7.7
"10",4.25,5
"11",4.58,5
"12",5.08,6.2
"13",5.06,6.2
"14",5.06,8.2
"15",4.05,5.7
"16",4.12,2
"17",4.1,2
"18",2.9,7.2
"19",3.55,6.2
"20",3.55,7.2
"21",2.67,5.7
"22",3.59,4
"23",3.59,4
"24",2.8,4.1
"25",3.19,5.1
"26",3.2,4.6
"27",2.98,4.6
"28",3.84,5
"29",4.16,5
"30",4.41,5.7
"31",4.84,8.2
"32",4.13,7.2
"33",4.41,8.2
"34",4.9,8
"35",5.54,5.1
"36",5.9,5.1
"37",6.9,9.3
"38",7.62,12.4
"39",7.95,16
"40",7.77,10
"41",7.11,10
"42",5.6,10.3
"43",5.96,11.3
"44",5.96,11.3
"45",5.37,9.8
"46",5.57,9
"47",5.29,9
"48",5.41,9.8
"49",4.99,8.8
"50",4.99,10.3
"51",4.72,11.8
"52",4.73,9
"53",4.39,9
"54",4.32,12.4
"55",4.99,11.3
"56",4.99,11.3
"57",4.47,10.15
"58",5.17,8
"59",4.16,8
"60",3.11,8.2
"61",4.51,9.8
"62",4.52,5.7
"63",3.4,8.2
"64",3.83,8
"65",3.78,8
"66",3.36,7.2
"67",3.95,7.7
"68",3.16,6.2
"69",3.01,6.2
"70",2.75,4
"71",2.75,4
"72",12.54,6.7
"73",11.36,7.7
"74",10.93,8.2
"75",2.74,7.7
"76",2.99,6
"77",2.99,6
"78",2.52,6.7
"79",10.38,7.7
"80",10.34,8.8
"81",2.31,7.2
"82",2.62,8
"83",3.05,0.3
"84",3.69,0.3
"85",4.89,1
"86",3.39,0.7
"87",3.06,0.3
"88",2.86,0.3
"89",2.66,0.7
"90",2.36,1
"91",2.2,1.7
"92",2.15,0.7
"93",2.31,0.7
"94",1.78,0.7
"95",1.86,1
"96",1.82,0.7
"97",1.05,0.7
"98",1.13,6.2
"99",0.78,5.1
"100",0,5
"101",10.24,3.1
"102",9.83,2.1
"103",10.46,2.1
"104",10.46,2.1
"105",11.2,2.1
"106",12.47,2.1
"107",13.23,2.1
"108",15.19,4.1
"109",16.39,4.1
"110",16.82,3.1
"111",17.79,3.1
"112",18.56,3.1
"113",19.26,1
"114",19.68,1
"115",19.89,2.1
"116",19.42,2.1
"117",17.58,5.1
"118",16.77,4.1
"119",15.69,2.1
"120",13.96,1
"121",12.81,1
"122",12.43,1
"123",12.01,1
"124",11.46,0
"125",11,0
"126",10.49,0
"127",9.89,0
"128",9.82,0
"129",10.35,0
"130",13.13,1
"131",15.55,1
"132",18.03,1
"133",21.01,2.1
"134",22.89,3.1
"135",23.79,2.1
"136",24.89,2.1
"137",25.22,3.1
"138",26.22,2.1
"139",26.1,2.1
"140",26.22,2.1
"141",26.05,3.1
"142",24.63,1
"143",23.43,1
"144",21.41,1
"145",19.68,1
"146",18.1,0
"147",17.4,1
"148",17.52,0
"149",16.42,0
"150",15.45,0
"151",15.71,0
"152",14.07,1
"153",13.95,1
"154",16.15,1
"155",19.04,1
"156",20.79,3.1
"157",21.24,3.1
"158",21.67,4.1
"159",22.08,4.1
"160",23,4.1
"161",23.03,4.1
"162",23.01,4.1
"163",22.78,5.1
"164",22.07,5.1
"165",20.95,5.1
"166",20.29,4.1
"167",19.12,3.1
"168",17.77,2.1
"169",17.01,1
"170",16.62,1
"171",16.56,1
"172",16.14,2.1
"173",15.42,1
"174",14.91,1
"175",14.95,1
"176",14.38,1
"177",15.13,1
"178",17.49,1
"179",19.24,1
"180",21.32,1
"181",22.93,1
"182",24.99,1
"183",25.83,2.1
"184",26.56,5.1
"185",26.54,5.1
"186",26.95,4.1
"187",27.78,3.1
"188",27.42,1
"189",27.14,1
"190",26.62,1
"191",24.77,1
"192",23.54,1
"193",22.26,1
"194",21.53,0
"195",21.72,1
"196",20.68,1
"197",19.91,0
"198",20.01,1
"199",18.74,0
"200",18.51,0
